huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus
4,8064PE,1896200000000996,1896010000005384,False,industriefunctie,1029,in gebruik
27,3165AA,613200000152881,613010000152882,False,industriefunctie,4396,in gebruik
30,8064AK,1896200000008909,1896010000009303,False,woonfunctie,213,in gebruik
17,8152BN,148200000007553,148010000007553,False,kantoorfunctie,11304,in gebruik
10,8042PH,193200000093646,193010000093602,False,industriefunctie,16473,ingetrokken
27,8325DB,1708200000016884,1708010000011268,False,industriefunctie,96,in gebruik
5,7711EP,148200000011298,148010000011298,False,industriefunctie,10935,in gebruik
131,3734EE,355200000780155,355010000780156,False,industriefunctie,66,in gebruik
5,8271RG,166200000004703,166010000004703,False,industriefunctie,417,in gebruik
26,8131DP,1773200000004748,1773010000004556,False,woonfunctie,239,in gebruik
36,8181JJ,246200000007327,246010000007327,False,industriefunctie,349,in gebruik
26,8271RH,166200000022557,166010000022557,False,overige gebruiksfunctie,17,in gebruik
9,8051HH,244200000003362,244010000003362,False,woonfunctie,144,in gebruik
8,7739PL,175200000378387,175010000058931,False,industriefunctie,10000,in gebruik
24,7739PH,175200000005628,175010000008139,False,woonfunctie,205,in gebruik
32,7701SE,160200000265432,160010000044704,False,industriefunctie,10177,in gebruik
2,7696BG,160200000262001,160010000040235,False,woonfunctie,386,in gebruik
7,8013RK,193200000091882,193010000091833,False,industriefunctie,300,in gebruik
14,7711GW,148200000009111,148010000009111,False,winkelfunctie,1018,in gebruik
3,7955AA,180200000003011,180010000003756,False,kantoorfunctie,460,in gebruik
66,7772KB,160200000248429,160010000029921,False,woonfunctie,115,in gebruik
15,7921RV,1690200000010518,1690010000010518,False,woonfunctie,133,in gebruik
1,8131WV,1773200000007081,1773010000006295,False,woonfunctie,92,in gebruik
3,8102HX,177200000227601,177010000227602,False,industriefunctie,558,in gebruik
15,8013RL,193200000029499,193010000029499,False,industriefunctie,188,in gebruik
132,7324BD,200200000095410,200010003918023,False,woonfunctie,198,in gebruik
111,7772NB,160200000246480,160010000029518,False,woonfunctie,137,in gebruik
38,8013PD,193200000013427,193010000013427,False,industriefunctie,1497,ingetrokken
13,7241DB,262200000012390,262010000012390,False,woonfunctie,108,in gebruik
6,7602PE,141200000042445,141010000026280,False,industriefunctie,990,in gebruik
21,7575ER,173200000177677,173010000177676,False,kantoorfunctie,7316,in gebruik
18,7461JC,1742200000033459,1742010000008623,False,industriefunctie,4344,ingetrokken
2,7547RW,153200000398166,153010000398167,False,industriefunctie,2650,in gebruik
105,7587NG,168200000232453,168010000232454,False,kantoorfunctie,421,in gebruik
29,7602PD,141200000042417,141010000026304,False,industriefunctie,998,in gebruik
18,7575ED,173200000147038,173010000147039,False,industriefunctie,2348,in gebruik
3,7602PD,141200000042418,141010000026277,False,industriefunctie,8190,in gebruik
23,7575DB,173200000157912,173010000157913,False,kantoorfunctie,475,in gebruik
29,7461TP,1742200000028761,1742010000006306,False,industriefunctie,2589,in gebruik
10,7543GT,153200000318380,153010000318381,False,woonfunctie,122,in gebruik
8,7602PW,141200000042567,141010000025876,False,industriefunctie,125,in gebruik
8,7532ST,153200000350564,153010000350565,False,woonfunctie,109,in gebruik
219,1118BH,394200001001738,394010001001778,False,kantoorfunctie,25,in gebruik
19,7547RT,153200000346050,153010000346051,False,industriefunctie,4930,in gebruik
16,7587GA,168200000229160,168010000229161,False,kantoorfunctie,32,in gebruik
21,7575BC,173200000161396,173010000161397,False,industriefunctie,1056,in gebruik
29,1062HJ,363200012125319,363010012123492,False,woonfunctie,64,in gebruik
2,7575BP,173200000172834,173010000172835,False,industriefunctie,16066,in gebruik (niet ingemeten)
30,7575DA,173200000177832,173010000177831,False,industriefunctie,3605,in gebruik
16,7547TB,153200000428468,153010000428469,False,industriefunctie,5600,in gebruik
13,7608RH,141200000065043,141010000029535,False,woonfunctie,180,in gebruik
332,7532SN,153200000426478,153010000426479,False,industriefunctie,679,in gebruik
3,7591HH,1774200000280394,1774010000280395,False,industriefunctie,780,in gebruik
1,7472DD,1735200000013226,1735010000007403,False,winkelfunctie,462,in gebruik
41,7511ZA,153200000423906,153010000423907,False,industriefunctie,554,in gebruik
22,7665ST,183200000201221,183010000201220,False,overige gebruiksfunctie,183,in gebruik
15,3851SL,233200000017940,233010000017940,False,woonfunctie,870,in gebruik
6,1521RC,479200000020814,479010000015692,False,industriefunctie,6495,in gebruik
209,8096BJ,269200000008628,269010000008628,False,industriefunctie,338,in gebruik
81,5342LW,828200001584686,828010001584685,False,kantoorfunctie,15207,in gebruik
23,5145RK,867200000044770,867010000063813,False,kantoorfunctie,58393,in gebruik
6,5047RK,855200000023969,855010000101799,False,industriefunctie,17874,in gebruik
81,5804AP,984200000021921,984010000309930,False,industriefunctie,16034,in gebruik
1,3849BM,243200001347965,243010001347966,False,kantoorfunctie,466,in gebruik
16,7141ZT,1586200000042871,1586010000036659,False,woonfunctie,161,in gebruik
6,7332BB,200200000027053,200010000107758,False,kantoorfunctie,503,in gebruik
12,3903KG,345200002078089,345010002078090,False,industriefunctie,2215,in gebruik
45,7131PE,1586200000049097,1586010000027338,False,industriefunctie,11442,in gebruik
24,6971BA,213200000006233,213010000005631,False,woonfunctie,249,in gebruik
6,3016BD,599200000404497,599010000274789,False,woonfunctie,425,in gebruik
18,7261AD,1859200000827346,1859010000827347,False,winkelfunctie,705,in gebruik
30,7122PW,197200000498301,197010000037165,False,woonfunctie,230,gevormd
2,7202CT,301200000020699,301010000020699,False,industriefunctie,3087,in gebruik
15,8932PA,80200000411979,80010000411980,False,kantoorfunctie,10071,in gebruik
8,7255AE,1876200000014591,1876010001014591,False,winkelfunctie,1820,in gebruik
13,3846BX,243200001337573,243010001337574,False,industriefunctie,7250,in gebruik
100,5804AM,984200000013315,984010000316775,False,industriefunctie,16412,in gebruik
17,3861NJ,267200000004825,267010000000251,False,winkelfunctie,7450,ingetrokken
8,7383CB,285200000102233,285010000100829,False,woonfunctie,193,in gebruik
37,6981AD,221200000320548,221010000320549,False,woonfunctie,201,in gebruik
7,6961DP,213200000009853,213010000008892,False,woonfunctie,263,in gebruik
98,7241VM,262200000014622,262010000014622,False,woonfunctie,178,in gebruik
14,7151HD,1859200000842554,1859010000842555,False,industriefunctie,722,in gebruik
29,7325WZ,200200000077071,200010000099130,False,industriefunctie,9142,in gebruik
33,2161LE,553200000009005,553010000004548,False,kantoorfunctie,303,in gebruik
18,7211AR,262200000001606,262010000001606,False,woonfunctie,71,in gebruik
2,9723JE,14200010893344,14010011083240,False,industriefunctie,201,in gebruik
2,7231CP,301200000006387,301010000006387,False,woonfunctie,152,in gebruik
8,3771MK,203200000396400,203010000396401,False,industriefunctie,1896,in gebruik
10,7572ZH,173200000146546,173010000146547,False,woonfunctie,137,in gebruik
73,7631AB,1774200000276988,1774010000276989,False,overige gebruiksfunctie,35,in gebruik
20,3991VB,321200000001388,321010000001388,False,woonfunctie,192,in gebruik
60,3882NJ,273200000021503,273010000021503,False,woonfunctie,70,in gebruik
7,7604ER,141200000047570,141010000005680,False,woonfunctie,113,in gebruik
11,2391PZ,1672200000005037,1672010000004614,False,overige gebruiksfunctie,24030,in gebruik
106,7547AL,153200000366072,153010000366073,False,industriefunctie,245,in gebruik
23,7382AK,285200000112917,285010000111556,False,overige gebruiksfunctie,1018,in gebruik
6,7091CS,197200000040495,197010000030699,False,winkelfunctie,160,in gebruik
8,7475NH,1735200000031418,1735010000019394,False,woonfunctie,103,in gebruik (niet ingemeten)
41,5571KB,1724200000001328,1724010000006968,False,woonfunctie,148,in gebruik
21,7547RT,153200000449818,153010000449819,False,industriefunctie,7844,in gebruik
12,7384SN,285200000100182,285010000102477,False,industriefunctie,99,ingetrokken
266,3845LD,243200001343193,243010001343194,False,woonfunctie,255,in gebruik
82,8256ES,303200000619311,303010000619312,False,woonfunctie,122,in gebruik
454,7602KM,141200000402207,141010000205871,False,kantoorfunctie,4980,in gebruik
128,8701MC,1900200010085289,1900010010085290,False,kantoorfunctie,1045,in gebruik
51,7325WC,200200000095492,200010003918184,False,industriefunctie,18966,in gebruik
119,7631BB,1774200000264126,1774010000264127,False,industriefunctie,10490,in gebruik
6,3628AC,311200000000750,311010000000750,False,woonfunctie,98,in gebruik
22,3771VT,203200000363464,203010000363465,False,woonfunctie,166,in gebruik
28,7576EM,173200000172494,173010000172495,False,woonfunctie,221,in gebruik
1,7556BP,164200000361090,164010000022594,False,kantoorfunctie,8184,in gebruik
33,8162XS,232200000006196,232010000006196,False,woonfunctie,148,in gebruik
7,6921EW,226200000020430,226010000020431,False,industriefunctie,1895,in gebruik
17,7577JC,173200000154594,173010000154595,False,woonfunctie,292,in gebruik
12,3881SH,273200000002991,273010000002991,False,woonfunctie,192,in gebruik
34,8097SG,269200000006440,269010000006440,False,industriefunctie,848,in gebruik
21,8242PE,995200000769724,995010000769725,False,woonfunctie,160,in gebruik
156,7604BP,141200000406543,141010000211047,False,woonfunctie,169,gevormd
100,7554NB,164200000368810,164010000015880,False,industriefunctie,11341,in gebruik
101,3066GS,599200000179927,599010000220630,False,industriefunctie,714,in gebruik
1,7491EZ,1735200000023397,1735010000005905,False,industriefunctie,393,in gebruik
12,7312EH,200200000060981,200010000227502,False,woonfunctie,162,in gebruik
40,7609SJ,141200000069998,141010000012432,False,woonfunctie,205,in gebruik
22,3846BN,243200001342663,243010001342664,False,kantoorfunctie,668,in gebruik
15,7621AX,147200000050254,147010000000084,False,woonfunctie,115,in gebruik
4,7604BL,141200000046792,141010000078260,False,industriefunctie,5220,in gebruik
766,2132NM,394200001001172,394010001001269,False,overige gebruiksfunctie,1400,in gebruik
53,7547TE,153200000394408,153010000394409,False,industriefunctie,300,in gebruik
8,7391TW,285200000112277,285010000110888,False,woonfunctie,233,in gebruik
3,7251LH,1876200000013046,1876010001013046,False,woonfunctie,213,in gebruik
37,8081HB,230200000014175,230010000014175,False,woonfunctie,106,in gebruik
14,7671NE,1700200000032164,1700010000006675,False,woonfunctie,184,in gebruik
46,7671RE,1700200000290898,1700010000041008,False,overige gebruiksfunctie,17,in gebruik
11,7335JP,200200000054469,200010000205892,False,winkelfunctie,162,ingetrokken
52,5222BP,796200001016073,796010001016074,False,kantoorfunctie,414,in gebruik
6,4043JD,1740200000105894,1740010000001462,False,industriefunctie,321,ingetrokken
75,7397NE,285200000100422,285010000108411,False,industriefunctie,87,in gebruik
16,7611AG,141200000071966,141010000196164,False,woonfunctie,134,in gebruik
16,3888MV,200200000020483,200010000060712,False,woonfunctie,92,in gebruik
12,8162ET,232200000007776,232010000007776,False,woonfunctie,63,in gebruik
123,7471KV,1735200000031152,1735010000019129,False,woonfunctie,236,in gebruik
14,8051KW,244200000001116,244010000001116,False,woonfunctie,169,in gebruik
150,7544VV,153200000352120,153010000352121,False,woonfunctie,88,in gebruik
99,7241MB,262200000009461,262010000009461,False,kantoorfunctie,619,in gebruik
20,3774RA,203200000380672,203010000380673,False,woonfunctie,103,in gebruik
8,7418BG,150200000040411,150010000046933,False,industriefunctie,187,in gebruik
16,7335AA,200200000077187,200010000051798,False,woonfunctie,117,in gebruik
3,7463PB,1742200000037116,1742010000001301,False,industriefunctie,314,in gebruik
6,2033DA,392200000096566,392010000096550,False,woonfunctie,165,in gebruik
101,7202CA,301200000023681,301010000023681,False,industriefunctie,7527,in gebruik
18,7547TB,153200000387756,153010000387757,False,industriefunctie,1600,in gebruik
64,3853TK,233200000003358,233010000003358,False,woonfunctie,113,in gebruik
3,3785KX,203200000448519,203010000448518,False,industriefunctie,175,in gebruik
23,7575AR,173200000172604,173010000172605,False,industriefunctie,1938,in gebruik
1,7772BL,160200000260303,160010000032247,False,kantoorfunctie,96,in gebruik
2,7623CS,147200000056076,147010000112147,False,winkelfunctie,1444,in gebruik
133,3771MA,203200000369606,203010000369607,False,industriefunctie,6157,in gebruik
18,6961PJ,213200000004543,213010000004118,False,woonfunctie,102,in gebruik
37,7481RS,158200000000205,158010000000205,False,woonfunctie,160,in gebruik
6,7631JC,1774200000277360,1774010000277361,False,woonfunctie,132,in gebruik
25,7421ET,150200000032788,150010000036675,False,woonfunctie,141,in gebruik
9,8011RT,193200000028230,193010000028230,False,woonfunctie,175,in gebruik
10,7521BE,153200000420336,153010000420337,False,industriefunctie,221,in gebruik
22,7554TX,164200000323370,164010000016730,False,industriefunctie,399,in gebruik
9,3881LW,273200000019754,273010000019754,False,industriefunctie,14563,in gebruik
9,7597MD,1774200000280734,1774010000280735,False,woonfunctie,182,in gebruik
