huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek
14,6902PR,0299200000432802,0299010000432803,False
165,7102EN,0294200000411093,0294010000411094,False
5,6922AA,0226200000034223,0226010000034224,False
130,2678AG,1783200000043785,1783010000043785,False
194,6814GK,0202200000347526,0202010000347527,False
2,2652XT,1621200000001008,1621010000000877,False
20,1047BM,0363200000446683,0363010000688896,False
2,7942KE,0119200000003282,0119010000002323,False
32,3905NR,0345200002080008,0345010002080007,False
44,7461AE,1742200000039353,1742010000011630,False
10,5684PK,0753200000091612,0753010000033327,False
2,9482WH,1730200000015150,1730010000015599,False
15,8501XJ,0051200001240768,0051010001240769,False
2,1943AG,0375200000022769,0375010000022769,False
1410,5688HA,0823200000010118,0823010000010740,False
4,9461GX,1680200000002106,1680010000001129,False
17,6996AA,1876200000000469,1876010001000469,False
89,6602DD,0296200000006886,0296010000008157,False
3,6581KX,0252200000019934,0252010000018037,False
16,7418AM,0150200000050186,0150010000049635,False
8,6121RE,1883200000057289,1883010000057224,False
12,7041GD,1955200000043218,1955010000039765,False
5,7047CC,1955200000050150,1955010000026095,False
2031,6536JK,0268200000043696,0268010000059069,False
1077,6546BB,0268200000071673,0268010000051383,False
69,6828CD,0202200000354026,0202010000354027,False
4,6644BT,0209200000011040,0209010000009576,False
9,6611KA,0252200000020450,0252010000013323,False
5,6984AA,0221200000326901,0221010000326902,False
5,6984AA,0221200000326901,0221010000326902,False
8,6921RE,0226200000038407,0226010000038320,False
8,6921RE,0226200000038407,0226010000038320,False
58,6902PK,0299200000419971,0299010000419972,False
8,3991CS,0321200000017389,0321010000017389,False
43,7075ED,1509200000227309,1509010000227310,False
55,6681CW,1705200000103889,1705010000029849,False
3,6744PK,0228200000041118,0228010000041118,False
1154,6546AS,0268200000063627,0268010000082990,False
63,6545AB,0268200000058841,0268010000042937,False
2162,6604LG,0296200000019461,0296010000019438,False
55,7131XL,1586200000049354,1586010000029250,False
2,6741HC,0228200000045597,0228010000045597,False
5,6716KC,0228200000035979,0228010000035979,False
117,6542JD,0268200000084996,0268010000039112,False
6,6544XK,0268200000037942,0268010000070892,False
2,6942SG,1955200000051354,1955010000039980,False
93,6733AD,0228200000051156,0228010000051156,False
1,6521BA,0268200000048516,0268010000034655,False
19,6957AB,0275200000099727,0275010000007623,False
1154,6546AS,0268200000063627,0268010000082990,False
17,6902PB,0299200000420997,0299010000420998,False
38,6711HD,0228200000009117,0228010000009117,False
445,7535AZ,0153200000466393,0153010000466392,False
11,6731CL,0228200000051125,0228010000051125,False
50,6871XH,0274200000000251,0274010000259692,False
1105,6546AR,0268200000099076,0268010000097581,False
51,6741WJ,0228200000048976,0228010000048976,False
57,6524HV,0268200000013698,0268010000008548,False
9121,6537KJ,0268200000031662,0268010000022146,False
25,2526TM,0518200000452400,0518010000452401,False
8,6741EH,0228200000045156,0228010000045156,False
2414,6604LL,0296200000001792,0296010000013683,False
3,6716AH,0228200000018778,0228010000018778,False
21,6732GH,0228200000043163,0228010000043163,False
18,7037AB,1955200000045429,1955010000027701,False
51,6668CA,1734200000026582,1734010000031642,False
1014,6546BA,0268200000065072,0268010000060256,False
5,6744XA,0228200000040082,0228010000040082,False
136,6466GR,0928200000015103,0928010000015103,False
