vblObject,gebruiksdoel,oppervlakte,vbloStatus
228010000001350,woonfunctie,85,in gebruik
228010000009117,woonfunctie,157,in gebruik
228010000009754,industriefunctie,8009,in gebruik
228010000018778,kantoorfunctie,4607,in gebruik
228010000020272,woonfunctie,71,ingetrokken
228010000021651,industriefunctie,830,ingetrokken
228010000027051,kantoorfunctie,2174,in gebruik
228010000032076,industriefunctie,4737,in gebruik
228010000035979,woonfunctie,108,in gebruik
228010000040082,kantoorfunctie,508,in gebruik
228010000041118,woonfunctie,97,in gebruik
228010000041205,industriefunctie,522,in gebruik
228010000043163,woonfunctie,177,in gebruik (niet ingemeten)
228010000045156,woonfunctie,161,in gebruik
228010000045597,woonfunctie,160,in gebruik (niet ingemeten)
228010000047055,woonfunctie,113,in gebruik
228010000048976,woonfunctie,90,in gebruik
228010000051125,kantoorfunctie,146,in gebruik
228010000051156,woonfunctie,235,in gebruik
228010000052459,kantoorfunctie,986,in gebruik
228010000059680,kantoorfunctie,35806,in gebruik
230010000004381,woonfunctie,143,in gebruik
230010000014175,woonfunctie,106,in gebruik
232010000002542,industriefunctie,2382,in gebruik
232010000006196,woonfunctie,148,in gebruik
232010000007776,woonfunctie,63,in gebruik
232010000010481,woonfunctie,203,in gebruik
232010000014982,kantoorfunctie,3507,ingetrokken
233010000003358,woonfunctie,113,in gebruik
233010000015571,woonfunctie,139,in gebruik
233010000016515,woonfunctie,71,in gebruik
233010000017940,woonfunctie,870,in gebruik
233010000017950,kantoorfunctie,297,in gebruik
236010000000223,woonfunctie,134,in gebruik
236010000001497,woonfunctie,126,in gebruik
236010000002415,woonfunctie,198,in gebruik
236010000003013,industriefunctie,7222,in gebruik
236010000003027,industriefunctie,571,in gebruik
236010000004591,woonfunctie,166,in gebruik
236010000022526,woonfunctie,187,in gebruik
236010000023491,industriefunctie,16460,in gebruik
236010000024911,industriefunctie,3263,in gebruik (niet ingemeten)
243010001337574,industriefunctie,7250,in gebruik
243010001340300,industriefunctie,1045,in gebruik
243010001342664,kantoorfunctie,668,in gebruik
243010001343194,woonfunctie,255,in gebruik
243010001346516,woonfunctie,199,in gebruik
243010001347966,kantoorfunctie,466,in gebruik
243010001353102,woonfunctie,130,in gebruik
243010001371712,woonfunctie,420,in gebruik
243010001371714,woonfunctie,562,in gebruik
243010001371726,logiesfunctie,4381,in gebruik
244010000001116,woonfunctie,169,in gebruik
244010000003362,woonfunctie,144,in gebruik
246010000004684,woonfunctie,95,in gebruik
246010000007327,industriefunctie,349,in gebruik
