,HUISNR,PC
1240,18001,4601ZA
1241,24,4501LA
1242,1,4542PM
1243,4,6942DJ
1244,10,4315CA
1245,220,4380AE
1246,1057,4388ZH
1247,1057,4388ZH
1248,1200,4530GE
1249,1200,4530GE
1250,57,4510AB
1251,1057,4388ZH
1252,5,4530AA
1253,7,4461AP
1254,5,4530AA
1255,5,4530AA
1256,5,4530AA
1257,27,5900AA
1258,497,4389PA
1259,70,3197KG
1260,2,4524BV
1261,1212,1081LA
1262,6400,4802HK
1263,21,4527BD
1264,432,1780AK
1265,12,4401CG
1266,9,4531EA
1267,5792,4801ED
1268,4,4464JE
1269,102,3062ME
1270,37,4690AA
1271,2,4455TE
1272,7,4331NV
1273,12,4401HZ
1274,748,4382AC
1275,23503,3001KM
1276,1,4382NA
1277,21,3042CH
1278,22,2993LD
1279,6,4207HZ
1280,2,3244ZG
1281,12,3300AA
1282,35,4781AH
1283,262,3360AG
1284,182,3331ML
1285,182,3331ML
1286,7039,3286ZG
1287,88,3261AL
1288,22,4175ZG
1289,5,3299AL
1290,7,2995TP
1291,141,3362SC
1292,3,4131NT
1293,11,3316BD
1294,8,3267BD
1295,250,3316LC
1296,339,2980AH
1297,257,3360AG
1298,629,3300AP
1299,68,3079JW
1300,11,2950AA
1301,32,3356LX
1302,17,2953HC
1303,279,3350AG
1304,30,3355ES
1305,6520,4836LD
1306,110,4691TA
1307,3,3311DH
1308,120,3311PE
1309,466,3300AL
1310,160,3331MA
1311,466,3300AL
1312,86,3316GS
1313,3088,3301DB
1314,77,3311TH
1315,1014,3160AE
1316,428,3356XM
1317,1,4283HP
1318,24,2984AG
1319,131,3734EE
1320,150,3331MA
1321,8,4231VH
1322,230,3350AE
1323,6,2970AA
1324,34,3016BC
1325,56,3241LR
1326,124,2950AC
1327,2,3316GN
1328,14,3297WB
1329,5,3316BR
1330,617,3300AP
1331,1,3295LJ
1332,183,5430AD
1333,65,5685GB
1334,10,3313ES
1335,59101,3008PC
1336,617,3300AP
1337,11,2950AA
1338,466,3331LK
1339,61,4207CD
1340,16,2742MT
1341,288,3072MK
1342,6086,4780LX
1343,189,3111AJ
1344,268,3331ML
1345,45,3315BP
1346,7,4131NJ
1347,2,3344EM
1348,27,3381KA
1349,167,3351HM
1350,15,4104AL
1351,75763,1118ZX
1352,407,2990AK
1353,130,3012NC
1354,269,3190AG
1355,7,3342GS
1356,18,2992SR
1357,7039,3286ZG
1358,6,3291CN
1359,14,3316EL
1360,7,2951TJ
1361,5,4791VC
1362,23075,3001KB
1363,1068,3000BB
1364,101,3198LC
1365,8,1044AB
1366,30,4906CX
1367,1,3197LK
1368,7400,3000HK
1369,68,3029AS
1370,14,3011KA
1371,166,3330AD
1372,140,2260AC
1373,6,4824AE
1374,1,5986PK
1375,3175,5902RD
1376,314,6710BH
1377,305,7570AH
1378,59080,3008PB
1379,75579,1118ZP
1380,37,4389PC
1381,6,6199AD
1382,24,1078GZ
1383,718,5000AS
1384,718,5000AS
1385,718,5000AS
1386,31,5047RM
1387,1,5928SG
1388,4,5032MJ
1389,6,3521AL
1390,10,3084BA
1391,99,2990AB
1392,10,3089JC
1393,6033,3002AA
1394,5428,3008AK
1395,199,3199KA
1396,75,3198LS
1397,59113,3008PC
1398,59121,3008PC
1399,28,3331MK
1400,15,3316BB
1401,93,3072AP
1402,93,2400AB
1403,59178,3008PD
1404,575,3190AM
1405,2,3161WD
1406,12,2678AG
1407,1049,3160AE
1408,270,3011XZ
1409,8273,1005AG
1410,83,3316AK
1411,149,3000AC
1412,3070,3101EB
1413,4334,3102GG
1414,11,3055LA
1415,62,3113BD
1416,4,3331LL
1417,54507,3008KA
1418,12075,3004GB
1419,8,1118LB
1420,11,3197LG
1421,425,3200AK
