,HUISNR,PC
1352,84,2992XC
1353,130,3012NC
1354,1,3161GM
1355,7,3342GS
1356,18,2992SR
1357,8,3286BW
1358,6,3291CN
1359,14,3316EL
1360,7,2951TJ
1361,5,4791VC
1362,4,3011BT
1363,1,3088GN
1364,101,3198LC
1365,8,1044AB
1366,30,4906CX
1367,1,3197LK
1368,875,3199LD
1369,68,3029AS
1370,14,3011KA
1371,71,3311JG
1372,556,2263XZ
1373,6,4824AE
1374,1,5986PK
1375,12,5928PZ
1376,71,6716AE
1377,10,7575DA
1378,65,3089JW
1379,300,1438AN
1380,37,4389PC
1381,6,6199AD
1382,24,1078GZ
1383,1,5032ML
1384,5,5032MH
1385,4,5032MK
1386,31,5047RM
1387,1,5928SG
1388,4,5032MJ
1389,6,3521AL
1390,10,3084BA
1391,7,2991LS
1392,10,3089JC
1393,20,3047AL
1394,14,3088EB
1395,199,3199KA
1396,75,3198LS
1397,19,3089JH
1398,77,3087BM
1399,28,3331MK
1400,15,3316BB
1401,93,3072AP
1402,17,2404CB
1403,2,9601MC
1404,135,3194AB
1405,2,3161WD
1406,12,2678AG
1407,2,3161WD
1408,270,3011XZ
1409,8,1013BL
1410,83,3316AK
1411,20,3176PD
1412,23,3115HC
1413,21,3115HC
1414,11,3055LA
1415,62,3113BD
1416,4,3331LL
1417,77,3087BM
1418,35,3047BL
1419,8,1118LB
1420,11,3197LG
1421,3,3208LA
1422,20,3029BE
1423,30,2132MR
1424,342,3012NJ
1425,11,3208KH
1426,1,3088GN
1427,12,3088HH
1428,40,3077AL
1429,164,3194AM
1430,81,3165AM
1431,161,3071NR
1432,50,2987VE
1433,21,3089JH
1434,8,3133KT
1435,2,3161WD
1436,815,1077XX
1437,4,4782PP
1438,44,3062SH
1439,270,3011XZ
1440,2,3016BB
1441,107,3088GC
1442,1,3088GN
1443,15,3195KN
1444,58,3089KC
1445,5,3016CK
1446,89,3316AK
1447,6,5928LE
1448,41,3165AM
1449,1,1437EP
1450,20,3176PD
1451,159,3192NB
1452,56,3311TH
1453,398,2983GS
1454,44,3197KJ
1455,182,2901HC
1456,41,3012KD
1457,35,3024EA
1458,1,1437EM
1459,1,4782SM
1460,313,1431GB
1461,5,3196KC
1462,40,1118LD
1463,65,1118LN
1464,50,1951NE
1465,4,3161GL
1466,8,2984BM
1467,9,3199KD
1468,20,3176PD
1469,77,3087BM
1470,42,2909LE
1471,4,1044AE
1472,77,3087BM
1473,45,3012CA
1474,30,3311GX
1475,3,3011RR
1476,85,3081AB
1477,7,3161GR
1478,155,3087AG
