kvknr,reg_date,emp_class
20053794,28-10-1987,04
20054865,07-04-1988,01
20055895,22-09-1988,06
20057309,12-04-1989,02
20058974,28-12-1989,04
20059216,18-05-2011,01
20060044,19-04-1990,03
20060304,25-05-1990,02
20060895,04-09-1990,04
20060897,04-09-1990,03
20061023,24-09-1990,06
20062564,18-04-1991,04
20063353,25-07-1991,04
20063405,01-08-1991,07
20064895,24-01-1992,06
20066801,10-09-1992,01
20067752,05-01-2000,04
20067895,04-01-1993,04
20069421,08-06-1993,05
20069843,,
20070227,10-09-1993,06
20070521,23-11-1998,02
20070661,22-10-1993,01
20070674,25-10-1993,01
20070700,26-10-1993,04
20070854,08-11-1993,01
20070996,18-11-1993,03
20072017,04-02-1994,02
20072871,26-04-1994,06
20073636,15-07-1994,06
20074160,08-09-1994,05
20074250,05-05-2003,04
20074881,14-11-1994,03
20075395,02-01-1995,06
20075792,03-02-1995,02
20075811,06-02-1995,06
20076062,02-03-1995,03
20076767,02-05-1995,04
20077041,01-03-2013,01
20077416,28-06-1995,07
20078945,30-08-2002,08
20080640,20-03-1996,03
20081004,15-04-1996,05
20081305,13-05-1996,06
20082404,28-08-1996,02
20082561,13-09-1996,05
20082994,22-10-1996,03
20083275,10-12-1999,06
20083338,30-03-2005,04
20083577,02-01-1997,02
20083605,23-12-1996,05
20083815,06-01-1997,04
20084542,12-01-2016,01
20084979,03-04-1997,04
20085216,24-08-2007,04
20086389,12-08-1997,03
20086564,02-03-2018,01
20086733,19-09-1997,01
20087292,17-10-2006,07
20087355,20-11-1997,01
20087364,20-04-2011,02
20088147,29-01-1998,04
20093302,17-04-2013,03
20095295,01-12-1999,02
20096355,15-02-2000,02
20096397,17-02-2000,02
20097534,22-05-2000,05
20098111,13-07-2000,01
20098221,06-06-2019,02
20098411,10-08-2000,04
20098508,10-11-2000,03
20100536,,
20100549,,
20101389,29-03-2001,02
20101399,29-03-2001,05
20101413,03-07-2015,02
20101442,02-04-2001,01
20102129,10-01-2011,02
20102190,05-06-2001,02
20102721,17-07-2001,02
20102939,10-08-2001,02
20105937,04-04-2002,02
20106099,16-04-2002,06
20106176,23-04-2002,04
20106644,04-06-2002,05
20106934,31-12-2004,02
20106994,04-07-2002,03
20107618,06-09-2002,02
20108433,12-06-2006,04
20108910,30-12-2002,03
20109491,05-02-2003,04
20109827,24-09-2012,02
20111170,24-06-2003,03
20111409,14-07-2003,02
20112020,15-09-2003,02
20112385,21-04-2005,06
20112621,06-11-2003,03
20113075,22-12-2003,01
20113776,04-02-2004,01
20114176,05-03-2004,03
20114191,01-10-2013,04
20114293,15-03-2004,03
20114405,24-03-2004,04
20114760,20-04-2004,02
20115568,25-06-2004,02
20116067,01-12-2015,02
20116091,,
20116249,24-08-2004,05
20117241,12-11-2004,06
20117622,14-12-2004,05
20118551,02-02-2005,01
20120513,14-06-2005,02
20122110,18-10-2005,02
20122381,08-11-2005,02
20123348,28-01-2013,05
20123398,06-01-2006,01
20123899,,
20124187,21-02-2006,01
20125811,01-06-2006,05
20126992,25-08-2006,02
20127202,06-09-2006,01
20128209,10-11-2006,03
20128388,23-11-2006,05
20128461,29-11-2006,03
20129202,04-01-2006,02
20129312,22-02-2007,04
20130759,23-03-2007,02
20131950,01-06-2007,05
20132996,26-07-2007,02
20133875,14-09-2007,02
20134358,12-10-2007,02
20136030,28-12-2007,08
20136715,09-01-2008,02
20138721,05-03-2008,02
20139174,,
20139567,21-05-2008,02
20139602,02-04-2008,02
20139931,10-04-2008,03
20140285,23-04-2008,02
20141054,23-05-2008,02
20142444,23-09-2013,02
20142858,24-12-2009,04
20143052,28-07-2008,01
20144734,25-09-2008,02
20147137,23-12-2008,01
20147548,02-01-2009,03
20149177,04-02-2009,01
20150440,11-03-2009,01
20151612,30-03-2009,02
20152582,23-04-2009,02
20153385,15-04-2016,01
20154912,,
20155645,28-03-2013,01
20156049,25-06-2009,02
20159357,11-09-2009,02
20161227,23-10-2009,02
20163813,05-12-2018,03
20164427,22-12-2009,05
20165547,11-03-2010,04
20166302,20-01-2010,02
20167833,16-02-2010,01
20169316,15-03-2010,02
20170978,22-04-2010,03
21000067,04-06-1921,04
