kvk_nummer,bedrijfsnaam
30120653,"F.J.C.M. van Wiggen, h.o.n. Rene v. Wiggen Nationaal en Internationaal Transportbedrijf"
08051204,G.T.G. Oost B.V.
33192988,P. van der Veldt Transporten B.V.
24171505,G.P. Roos Zand en Grint B.V.
23073632,"G. Baum, h.o.n. Sloperij Baum"
24162138,Autodemontagebedrijf/Autosloopbedrijf en Metaalhandel 'De Polder' 
20063237,P. Knobel & Zn. IJzer- en Metaalhandel Roosendaal B.V.
22028948,Auto Demontagebedrijf Otte
17128153,Van Mechelen Recycling B.V.
08123172,"J.R. Racer Palthe, h.o.n. JRP Agrarisch Loon- en Grondverzetbedrijf"
04036491,G. en W. Brink Metaal B.V.
33178705,Kruyswijk Container B.V.
31011160,V.O.F. Jan Ruitenbeek
23050463,V.O.F. J.A. Boer en Zonen
24277880,Den Hartogh Trucking B.V.
38023437,Wigink Handel en Recycling B.V.
08067399,Eurovet B.V.
01064700,Auto Recycling Joure B.V.
38020135,"H. Ulfman, h.o.n. Ulfman Containers"
24220248,"Nijman/Zeetank, Internationale Tanktransporten B.V."
05043657,V.o.f. Firma A. Sierink Transportbedrijf
30050325,Van den Broek B.V.
16056153,Albers Veevoeders B.V.
02064311,W.R. Transport B.V.
17081972,Van Deursen B.V.
02323793,J.P. van der Wal V.o.f.
34020192,G. Markus & Zonen B.V.
21013206,"E.E.H. de Bock, h.o.n. Handel en Transport E. de Bock"
36036985,J. Prijs & Zn. B.V.
02014331,Visser Transport B.V.
18109413,V.o.f. Firma De Hond Transport
08089872,Hans Plegt Transport B.V.
12014307,"Amco Ottersum B.V., h.o.n. Amco"
18060570,"A. Smits, h.o.n. A. Smits Transporten"
18059713,Broeckx Plastic Recycling B.V.
20057159,Wagemakers Transportbedrijf B.V.
34065657,Kimco V.o.f.
06073686,Bruins & Kwast B.V.
39049897,Wijnand Vaten en Metaalhandel
06046651,Kroon-Oil B.V.
06026587,De Paauw Plasticrecycling B.V.
04004980,"H.A.J. de Jong, h.o.n. H. de Jong"
05058727,Gromes-Plender Milieu-Dienstverlening B.V.
05048181,Gromes-Plender Meststoffen B.V.
28033815,H.P. van Schip
16041929,Huiskes Metaal B.V.
14023403,Handelsmaatschappij Menten Metaal B.V.
05074266,Autohandel en -demontagebedrijf Pijffers B.V.
18130514,A. de Jong Milieutechniek B.V.
08035018,Bruins & Kwast Groenprojecten B.V.
17089397,Renewi Nederland B.V.
35030533,"D. Vleeshakker, h.o.n. Dirk's Loon- en Transportbedrijf"
17126377,Transportbedrijf Gerard Lammers B.V.
11006440,Schreuders Handel en Transport B.V.
08096864,Transportbedrijf Schopman B.V.
24342242,HVC Grondstoffen N.V.
50869744,Gemeente Losser
39034660,Reimert Handels- en Transportbedrijf B.V.
17192056,Gebr. Dijkhoff B.V.
16068982,Cor Albers Transport B.V.
11009359,Transportbedrijf Piet Spies B.V.
18071147,Gebr. Vermeer Industrial Movements B.V.
18028239,Wolfs Transportbedrijf B.V.
08077463,Agro World Transport B.V.
32100824,Milieu Groep Midden Nederland (MGM) B.V.
24025781,V.o.f. Firma Metalimex
23086124,Joop van Daalen's Recycling B.V.
24227794,Vema Schiedam B.V.
30073109,Roba Metals B.V.
09031774,De Blauwe Witpen B.V.
30091510,Aannemers- Handels- en Transportbedrijf van Dam B.V.
39075746,G.N. Wijngaard B.V.
37030051,V.O.F. Loonbedrijf Dros
06045004,V.o.f. Loon- en Grondverzetbedrijf Zanderink
27364192,Gemeente Leiden Dienst Milieu en Beheer
30126962,Maubis Trading B.V.
18067402,Oud Papier en Metaalrecycling Vissers B.V.
01046488,V.o.f. Fa. IJzer- en Metaalhandel voorheen B. van Veen
39078821,Riool Techniek Kraggenburg V.o.f.
31014034,Korlaar Recycling B.V.
05062775,Euro Trust Management B.V.
06043680,Transportbedrijf H. ten Brinke en Zn. B.V.
08088761,Nienhuis Transport B.V.
16061848,Marcel Wittenberg Oss B.V.
17027307,Loonbedrijf Berkers V.O.F.
16060672,A.M.J. van Oort
01075536,Sandstra Transport B.V.
14056427,V.o.f. Jac Schreurs Containers
24052990,IMPERIAL Chemical Transport B.V.
24483621,Gemeente Papendrecht
06083689,NTP B.V.
18013777,Timmermans Transport B.V.
20068364,Fasol B.V.
35008765,J. van Vliet B.V.
16031113,Bosche IJzer en Metaalhandel Van Erp B.V.
06033581,Autodemontagebedrijf Niks B.V.
30176313,E. Kroon Wilnis B.V.
38020712,IJzer- en Metaalhandel Antoon Hinderiks V.o.f.
17057709,"M.J. van Bezel, h.o.n. Bedo-Opeldemontage"
24133720,H.D.C. Schot Scheepvaart B.V.
22032080,LT-Transporten V.o.f.
33234991,Woning Onderhoud Bedrijf A'dam (W.O.B.A.)
11029283,"E. van Blijderveen, h.o.n. E. van Blijderveen Transport"
02326815,J.G. Niezen
28015370,H. Verheul
34111947,Transportbedrijf J. Rutte B.V.
22007815,Firma J. Goedbloed en Zonen
37162503,Gemeente Purmerend Afdeling Reiniging & Tractie
14053732,Vossenberg Transport B.V.
09147016,Transportbedrijf Blotenburg B.V.
02059226,Transportbedrijf Wit V.o.f.
08042346,Kisjes Transport B.V.
14611300,"R.G.C. Biermans, h.o.n. Transport en Handelsonderneming R. Biermans"
24196864,Bek & Verburg B.V.
30195494,"D. Stoof, h.o.n. D. Stoof Transportbedrijf"
09109143,Grondbank Oost-Gelderland B.V.
33161004,"W. Attema, h.o.n. W. Attema jr."
27164940,Vandervalk+Degroot B.V.
08033293,Schoonmaak- en Ontstoppingsbedrijf B. Langenbach V.o.f.
23070691,HKS Scrap Metals B.V.
14015971,Nijsen/Granico B.V.
34196257,Dura Vermeer Infra Regionale Projecten B.V.
60023635,V.o.f. Firma A.H. Koolhaas en Zoon
14034558,Brouns Grondwerk en Transport V.O.F.
17073483,Transportbedrijf M & H Bekx B.V.
24217765,B.V. Transportbedrijf Verboon
14014055,Eggen Logistiek & Aannemersbedrijf B.V.
01064855,V.o.f. Benedictus Transporten
01070263,Afvalsturing Friesland N.V.
01020025,V.o.f. Firma J. Meindersma en Zonen
01032278,Jan Gooijer en Zn. Transport
20169706,Gemeente Breda Afvalservice
34201953,Papyrus Recycling B.V.
34076352,Elkro B.V.
22043714,United Metals B.V.
13040370,Jos Menten Metaalhandel B.V.
13040369,Jos Menten Metaalrecycling B.V.
20022333,Wegenbouwmaatschappij Elshout B.V.
08075879,Papiergroothandel Palm B.V.
08039423,Lagemaat Sloopwerken B.V.
18026887,CVB Ecologistics B.V.
34263705,VG Recycling Groep B.V.
08044360,Van Gerrevink B.V.
27364265,Technische Universiteit Delft - FMVG - Logistiek & Milieu
18026888,CVB Recycling (Tilburg) B.V. 
09116333,Ede Recycling B.V.
35002793,A. De Vries Jbzn. B.V.
16043145,Internationaal Transportbedrijf J. van den Broek Veghel B.V.
01048776,Haarsma Transport B.V.
01033082,Roelinga's Expeditie- en Grondbedrijf B.V.
20041921,Cementbouw Recycling B.V.
30070984,Van Wijk Loon- & Verhuurbedrijf Nieuwegein B.V.
06087605,(Inter) Nationaal Transport en Logistiek Kamphuis B.V.
20110888,"Loonbedrijf W. Huijbregts B.V., h.o.n. Loon en grondwerkbedrijf W. Huijbregts"
23046151,J.A. den Hartog
27156805,Van Puffelen Recycling B.V.
22041627,Hercules Metals B.V.
27168306,Metaalhandel Wim de Voeght B.V.
17083478,International Slop Disposal (I.S.D.) B.V.
10022853,D. Peters Mesthandel & Transport B.V.
30071828,Grondhandel en Transportbedrijf J. Vernooy B.V.
67689299,Erik Vrieswijk Transport
27137169,Marktbedrijf T. Post en Zonen B.V.
27145016,Uitenhage Verhuur B.V.
68455100,V.O.F. van Eck
38011002,V.o.f. Wiggers Transport
01081357,Combi-Trans B.V.
02334838,M. Niezen
04059542,Kregel Transport V.o.f.
17087669,"M.J. Swinkels, h.o.n. Swinkels Graszoden"
09016987,Hardeman Zand- en Grindhandel B.V.
31031216,"Internationaal Transport-, Op- en Overslagbedrijf Dorrestijn B.V."
16031368,Gebr. van de Wetering Transport B.V.
01029750,V.o.f. Firma B.J. Hovenga
22002014,Aannemings- en Verhuurbedrijf J. Hoondert & Zn. B.V.
